City,Country,Latitude,Temperature,Humidity,Wind Speed,Cloudiness,Date
Rikitea,PF,-23.12,76.86,88,9.66,79,1577517177
Provideniya,RU,64.42,-10.41,81,7.94,0,1577517402
Havre-Saint-Pierre,CA,50.23,19.4,92,6.93,90,1577517245
Cape Town,ZA,-33.93,69.96,52,16.11,0,1577517212
Chumikan,RU,54.72,-8.28,80,6.42,40,1577517403
Lavrentiya,RU,65.58,-10.86,87,7.65,0,1577517231
Bambous Virieux,MU,-20.34,83.46,74,14.99,40,1577517213
Biak,ID,-0.91,84.29,76,11.7,38,1577517403
Lasa,CY,34.92,54.36,51,16.11,40,1577517403
Shelbyville,US,39.41,37.47,93,7.76,90,1577517403
Jamestown,AU,-33.21,98.74,15,10.85,80,1577517404
Atuona,PF,-9.8,81.3,76,15.17,21,1577517404
Garissa,KE,-0.46,79.83,66,4.56,45,1577517404
Kodiak,US,39.95,40.14,75,8.05,90,1577517404
Tasiilaq,GL,65.61,30.2,63,34.45,100,1577517404
Henties Bay,NA,-22.12,63.0,88,5.01,81,1577517210
Dongli,CN,24.18,68.0,52,11.18,0,1577517404
Mataura,NZ,-46.19,53.01,73,15.99,84,1577517404
Havoysund,NO,71.0,26.6,63,25.28,100,1577517405
Awbari,LY,26.59,46.26,49,3.31,0,1577517405
Dobryanka,RU,58.45,6.8,92,2.95,92,1577517405
Geraldton,CA,49.72,21.2,79,10.29,40,1577517405
Butaritari,KI,3.07,83.93,77,14.63,100,1577517405
Nome,US,30.04,64.67,100,8.05,90,1577517405
Preetz,DE,54.24,28.85,89,1.12,75,1577517405
Port Alfred,ZA,-33.59,71.01,69,5.99,45,1577517196
Kahului,US,20.89,70.72,83,10.29,20,1577517231
Yellowknife,CA,62.45,-12.64,75,6.93,90,1577517406
Labuhan,ID,-2.54,93.38,51,1.05,90,1577517406
Ushuaia,AR,-54.81,35.51,93,4.59,53,1577517406
Albany,US,42.65,38.59,70,9.17,90,1577517304
San Felipe,CL,-32.75,55.78,45,0.09,0,1577517406
Guerrero Negro,MX,27.97,57.16,70,12.06,1,1577517406
Akropong,GH,5.97,78.8,88,4.7,11,1577517406
Vaini,IN,15.34,80.6,57,9.17,40,1577517407
Oistins,BB,13.07,78.8,74,11.41,20,1577517291
Concordia,AR,-31.4,79.0,87,3.0,0,1577517407
Mumford,GH,5.26,73.89,91,2.42,0,1577517407
Hermanus,ZA,-34.42,70.56,62,15.01,0,1577517407
Saint-Francois,FR,46.42,43.11,100,1.12,90,1577517407
Coahuayana,MX,18.62,71.94,58,2.48,0,1577517407
Punta Arenas,CL,-53.16,44.26,81,13.87,20,1577517407
Faya,SA,18.39,62.64,55,8.05,0,1577517407
Shimanovsk,RU,52.0,-17.54,92,4.56,99,1577517408
Chokurdakh,RU,70.62,-28.26,93,6.91,100,1577517200
Nikolskoye,RU,59.7,30.07,68,13.42,90,1577517408
Pandaria,IN,22.22,64.81,26,5.64,0,1577517408
Kindu,CD,-2.95,72.68,96,2.48,100,1577517408
Port Elizabeth,US,39.31,43.79,93,4.7,1,1577517408
Kruisfontein,ZA,-34.0,63.0,69,15.9,67,1577517213
Faanui,PF,-16.48,80.28,76,18.59,86,1577517225
Markapur,IN,15.74,78.44,69,8.32,80,1577517409
Busselton,AU,-33.64,84.74,31,16.91,0,1577517180
East London,ZA,-33.02,62.6,82,4.7,75,1577517109
Katsuura,JP,33.93,49.87,54,13.87,20,1577517409
Kamaishi,JP,39.28,32.0,84,12.75,40,1577517410
Nayoro,JP,44.36,15.17,94,4.45,100,1577517410
La Ronge,CA,55.1,-0.4,84,3.36,20,1577517410
Hasaki,JP,35.73,48.45,39,14.99,20,1577517410
Cabo San Lucas,MX,22.89,63.07,77,5.99,40,1577517258
Hambantota,LK,6.12,87.8,70,13.87,20,1577517410
Saskylakh,RU,71.97,-30.86,95,5.73,96,1577517223
Alvaraes,BR,-3.22,74.03,99,1.74,100,1577517410
Gbarnga,LR,7.0,69.93,98,1.05,0,1577517411
Jurmala,LV,56.97,30.74,74,14.99,90,1577517411
Hilo,US,19.71,70.54,88,8.05,90,1577517186
Hami,CN,42.84,23.99,51,4.27,0,1577517206
Malinovka,RU,53.4,0.05,78,3.4,0,1577517411
Guatire,VE,10.47,73.13,100,2.24,92,1577517411
Tiksi,RU,71.64,-26.18,90,10.63,100,1577517411
Mehamn,NO,71.03,22.96,73,16.42,100,1577517411
Port Macquarie,AU,-31.43,81.05,45,24.16,0,1577517412
Panji,CN,32.78,53.83,40,8.61,8,1577517412
Norman Wells,CA,65.28,-27.4,74,4.18,40,1577517412
Mar del Plata,AR,-46.43,57.04,38,23.89,14,1577517412
Avera,US,33.19,54.43,87,3.36,1,1577517412
Sorland,NO,67.67,37.4,93,42.5,75,1577517412
Pahrump,US,36.21,38.32,53,4.7,1,1577517412
Alghero,IT,40.56,43.5,100,3.36,0,1577517412
Vardo,US,39.62,40.84,93,2.84,1,1577517236
Dingle,PH,11.0,83.46,75,10.67,1,1577517413
Westport,US,41.14,43.11,87,6.93,1,1577517413
Darab,IR,28.75,53.13,35,1.72,0,1577517413
Valparaiso,US,41.47,30.18,92,4.7,20,1577517413
Tam Ky,VN,15.57,77.0,73,10.29,40,1577517197
Bethel,US,60.79,-17.03,68,25.28,1,1577517413
Lebu,ET,8.96,64.4,45,6.93,40,1577517413
Tuatapere,NZ,-46.13,53.01,73,15.99,100,1577517414
Ilulissat,GL,69.22,6.8,60,2.24,94,1577517414
Ponnani,IN,10.77,87.8,55,5.82,40,1577517414
Sterling,US,39.0,40.73,93,3.36,1,1577517124
Garowe,SO,8.41,78.24,37,8.52,21,1577517414
Khatanga,RU,71.98,-29.61,98,6.82,99,1577517414
Lompoc,US,34.64,40.77,52,6.93,1,1577517414
Ozinki,RU,51.2,23.14,92,7.96,100,1577517414
Rozhyshche,UA,50.92,30.99,10,11.01,100,1577517414
Nevelsk,RU,46.67,10.4,66,6.71,100,1577517415
Sanford,US,43.44,36.82,100,4.7,31,1577517415
Tuktoyaktuk,CA,69.44,-27.4,67,10.29,20,1577517415
Husavik,CA,50.56,16.54,92,5.01,0,1577517415
Airai,TL,-8.93,77.76,80,4.03,34,1577517415
Barrow,AR,-38.31,72.99,82,2.73,14,1577517415
Bilma,NE,18.69,53.22,32,6.49,22,1577517415
Esperance,AU,-33.86,78.8,47,19.46,0,1577517416
Castro,CL,-42.48,44.6,93,6.93,10,1577517416
Carnarvon,ZA,-30.97,67.51,24,11.48,0,1577517194
Ust-Uda,RU,54.17,-17.73,87,5.99,100,1577517416
Petropavlovsk-Kamchatskiy,RU,53.05,32.0,76,11.18,75,1577517147
Ribeira Grande,PT,38.52,59.11,92,20.78,100,1577517416
Nizwa,OM,22.93,63.61,46,4.74,12,1577517416
Omboue,GA,-1.57,75.85,92,0.29,93,1577517416
